ParticipantName	FixationIndex	AOI[window]Hit	AOI[graph]Hit	AOI[legend]Hit	AOI[title]Hit	AOI[Q1]Hit	AOI[Q2]Hit	AOI[Q3]Hit	AOI[Q4]Hit	
P07	110	1	0	1	0	0	0	0	0	
P07	111	1	0	1	0	0	0	0	0	
P07	112	1	0	1	0	0	0	0	0	
P07	113	1	0	1	0	0	0	0	0	
P07	114	1	1	0	0	1	0	0	0	
P07	115	1	1	0	0	1	0	0	0	
P07	116	1	1	0	0	1	0	0	0	
P07	117	1	1	0	0	1	0	0	0	
P07	118	1	1	0	0	1	0	0	0	
P07	119	1	1	0	0	0	0	0	1	
P07	120	1	1	0	0	0	0	0	1	
P07	121	1	1	0	0	0	0	0	0	
P07	122	1	0	1	0	0	0	0	0	
P07	123	1	1	0	0	0	0	1	0	
P07	124	1	1	0	0	0	0	1	0	
P07	125	1	1	0	0	1	0	0	0	
P07	126	1	1	0	0	0	1	0	0	
P07	127	1	1	0	0	0	1	0	0	
P07	128	1	1	0	0	0	0	0	1	
P07	129	1	1	0	0	0	0	0	1	
P07	130	1	1	0	0	0	0	1	0	
P07	131	1	1	0	0	0	0	0	1	
P07	132	1	1	0	0	0	0	0	1	
P07	133	1	1	0	0	0	0	0	1	
P07	134	1	1	0	0	0	0	1	0	
P07	135	1	1	0	0	1	0	0	0	
P07	136	1	1	0	0	1	0	0	0	
P07	137	1	1	0	0	1	0	0	0	
P07	138	1	1	0	0	1	0	0	0	
P07	139	1	1	0	0	0	0	1	0	
