ParticipantName	FixationIndex	AOI[window]Hit	AOI[title]Hit	AOI[legend]Hit	AOI[Q1]Hit	AOI[Q3]Hit	AOI[Q2]Hit	AOI[graph]Hit	
P13	31	1	0	0	0	0	0	1	
P13	32	1	0	0	0	0	0	1	
P13	33	1	0	0	0	0	0	1	
P13	34	1	0	0	1	0	0	1	
P13	35	1	0	0	1	0	0	1	
P13	36	1	0	0	0	1	0	1	
P13	37	1	0	0	0	1	0	1	
P13	38	1	0	0	0	1	0	1	
P13	39	1	0	0	0	0	1	1	
P13	40	1	0	0	0	0	0	1	
P13	41	1	0	0	1	0	0	1	
P13	42	1	0	0	1	0	0	1	
P13	43	1	0	0	1	0	0	1	
P13	44	1	0	0	0	0	0	1	
P13	45	1	0	0	1	0	0	1	
P13	46	1	0	0	0	0	0	1	
P13	47	1	0	0	0	0	0	1	
P13	48	1	0	0	0	0	0	1	
P13	49	1	0	0	0	0	1	1	
P13	50	1	0	0	0	0	1	1	
P13	51	1	0	0	0	0	0	0	
P14	1	1	0	0	0	0	0	1	
P14	2	1	0	0	0	0	0	1	
P14	3	1	0	0	0	0	0	1	
P14	4	1	0	0	0	0	0	1	
P14	5	1	0	0	0	0	0	0	
P14	6	1	0	0	0	0	0	0	
P14	7	1	0	0	0	0	0	0	
P14	8	1	0	0	0	0	0	0	
P14	9	1	0	0	0	0	0	1	
P14	10	1	0	0	0	0	0	1	
P14	11	1	0	0	0	0	0	1	
P14	12	1	0	0	0	0	0	1	
P14	13	1	0	0	0	0	0	1	
P14	14	1	0	0	0	1	0	1	
P14	15	1	0	0	0	1	0	1	
P14	16	1	0	0	0	1	0	1	
P14	17	1	0	0	1	0	0	1	
P14	18	1	0	0	0	0	1	1	
P14	19	1	0	0	0	1	0	1	
P14	20	1	0	0	0	0	0	1	
P14	21	1	0	0	0	0	0	1	
P14	22	1	0	0	0	0	0	1	
P14	23	1	0	0	0	0	0	0	
P14	24	1	0	1	0	0	0	0	
P14	25	1	0	1	0	0	0	0	
P14	26	1	0	0	0	1	0	1	
P14	27	1	0	0	0	0	0	1	
P14	28	1	0	0	0	0	0	1	
P15	1	1	0	0	0	0	0	1	
P15	2	1	0	0	1	0	0	1	
P15	3	1	0	0	1	0	0	1	
P15	4	1	1	0	0	0	0	0	
P15	5	1	1	0	0	0	0	0	
P15	6	1	1	0	0	0	0	0	
P15	7	1	1	0	0	0	0	0	
P15	8	0	1	0	0	0	0	0	
P15	9	1	1	0	0	0	0	0	
